id,title,pin,about,description,category,link,x,y,image
M89_L1,LOTE: MZ 89 LT 1 |  SUPERFICIE: 645m2,hidden,LOTE: MZ 89 LT 1 |  SUPERFICIE: 645m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>645 m2</b><br>Precio: $  <b>638550 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.8089,0.446,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L2,LOTE: MZ 89 LT 2 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 2 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.8058,0.4742,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L3,LOTE: MZ 89 LT 3 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 3 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.803,0.4964,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L4,LOTE: MZ 89 LT 4 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 4 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.8003,0.5221,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L5,LOTE: MZ 89 LT 5 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 5 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7979,0.545,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L6,LOTE: MZ 89 LT 6 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 6 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7969,0.5672,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L7,LOTE: MZ 89 LT 7 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 7 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7932,0.5901,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L8,LOTE: MZ 89 LT 8 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 8 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7912,0.6116,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L9,LOTE: MZ 89 LT 9 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 9 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7889,0.6327,https://lagunaskuche.com/assets/images/lagunas.jpg
M89_L10,LOTE: MZ 89 LT 10 |  SUPERFICIE: 434m2,hidden,LOTE: MZ 89 LT 10 |  SUPERFICIE: 434m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>434 m2</b><br>Precio: $  <b>429660 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7865,0.6553,https://lagunaskuche.com/assets/images/lagunas.jpg
